Median_Tot_prsnl_inc_weekly, Average_num_psns_per_bedroom, Median_age_persons, Median_Tot_fam_inc_weekly, LGA_NAME11, Median_mortgage_repay_monthly, Average_household_size, Median_Tot_hhd_inc_weekly, Median_rent_weekly, LGA_MAIN11
490,1.3,35,1441,"Burwood (A)",2179,2.8,1310,400,"11300"
477,1.1,42,1053,"Byron (A)",1684,2.4,885,350,"11350"
523,1.1,42,1293,"Cabonne (A)",1387,2.6,1036,135,"11400"
690,1.1,34,1865,"Camden (A)",2167,3.0,1727,360,"11450"
549,1.1,33,1390,"Campbelltown (C)",1800,2.9,1251,260,"11500"
782,1.2,37,2152,"Canada Bay (A)",2600,2.5,1817,480,"11520"
430,1.3,35,1149,"Canterbury (C)",2000,2.8,1029,300,"11550"
527,1.1,40,1143,"Carrathool (A)",867,2.4,942,80,"11600"
387,1.1,39,889,"Central Darling (A)",300,2.4,787,65,"11700"
472,1.1,37,1265,"Cessnock (C)",1517,2.6,1042,230,"11720"
396,1.1,46,924,"Clarence Valley (A)",1300,2.4,768,210,"11730"
582,1.1,35,1587,"Cobar (A)",1300,2.4,1259,143,"11750"
469,1.1,42,1097,"Coffs Harbour (C)",1575,2.4,902,250,"11800"
437,1.1,41,976,"Coonamble (A)",790,2.4,816,120,"12150"
425,1.1,47,1026,"Cootamundra (A)",1083,2.3,768,150,"12200"
469,1.1,47,1093,"Corowa Shire (A)",1300,2.3,873,180,"12300"
412,1.1,45,1003,"Cowra (A)",1098,2.3,785,155,"12350"
479,1.0,44,1169,"Deniliquin (A)",1083,2.2,856,150,"12500"
577,1.1,36,1340,"Dubbo (C)",1500,2.6,1096,200,"12600"
484,1.1,44,1278,"Dungog (A)",1647,2.5,1005,185,"12700"
424,1.1,50,939,"Eurobodalla (A)",1430,2.3,784,220,"12750"
369,1.2,36,1065,"Fairfield (C)",1800,3.2,1022,280,"12850"
558,1.3,33,1595,"Strathfield (A)",2195,2.9,1421,400,"17100"
718,1.1,39,2014,"Sutherland Shire (A)",2400,2.7,1674,370,"17150"
888,1.3,32,2273,"Sydney (C)",2539,1.9,1639,465,"17200"
